orderNo1,orderTotalSDP,mstOrderTotal,orderNo2,orderTotalDiff
1140118134,56.08,56.07,1140090823,-0.01
1140118397,105.74,105.73,1140090962,-7.11E-15
1140118425,45.94,45.95,1140090992,0.01
1140118830,138.23,138.21,1140090992,0.01
1140119143,153.08,153.03,1140091068,0.01
1140119362,56.32,56.31,1140091256,0.01
1140119369,1636.49,1630.49,1140091256,0.01
1140119479,142.49,142.48,1140091256,0.01
1140119513,365.89,365.9,1140091331,0.01
1140119544,125.42,125.43,1140091393,0.03
1140119586,164.15,164.16,1140091403,-0.01
1140119587,127.23,127.22,1140091403,-0.01
1140119698,76.01,76,1140091454,-0.01
1140119782,262.99,263.01,1140091539,-0.01
1140119785,260.77,260.74,1140091623,-0.01
1140119793,347.33,347.35,1140091678,0.02
1140119979,331.1,331.08,1140091700,-0.01
1140120025,154.05,154.04,1140091734,-0.01
1140120035,150.23,150.25,1140091824,0.01
1140120082,198.01,198.02,1140091824,0.01
1140120209,167.97,167.98,1140092015,-0.01
1140120242,155.62,155.63,1140092073,-0.01
1140120291,706.8,706.72,1140092175,-0.02
1140120301,534.13,534.15,1140098221,-0.01
1140120320,155.62,155.63,1140098221,-0.01
1140120356,1221.47,1221.45,1140098351,-0.01
1140120362,771.86,772,1140098649,0.01
1140120425,60.8,60.79,1140098693,-0.01
1140120427,113.54,113.53,1140098751,-5.68E-14
1140120440,98.15,98.14,1140098751,-5.68E-14
1140120530,41.94,41.95,1140098771,-0.01
1140120593,180.55,180.54,1140098771,-0.01
1140120606,118.71,118.72,1140098771,-0.01
1140120608,135.37,135.36,1140098771,-0.01
1140120756,677.27,677.26,1140098843,0.01
1140120787,89.91,89.9,1140098947,0.02
1140120790,194.26,188.26,1140098947,0.02
1140120833,118.65,118.69,1140098961,0.01
1140120850,129.66,129.67,1140099165,0.01
1140120895,172.75,172.74,1140099168,0.01
1140120937,32.05,32.06,1140099179,-0.01
1140121069,114.68,114.67,1140099210,0.01
1140121087,51.7,51.69,1140099355,-0.01
1140121126,168.08,168.06,1140099409,-0.01
1140121188,1243.72,1243.64,1140099410,0.01
1140121321,152.95,152.96,1140099410,0.01
1140121337,148.22,148.23,1140099451,0.01
1140121576,115.17,115.16,1140099568,-0.01
1140121625,336.09,336.07,1140099575,0.01
1140121644,186.2,186.21,1140099575,0.01
1140121698,151.19,151.16,1140099585,-0.01
1140121838,82.69,82.68,1140099625,-0.01
1140121858,100.87,100.88,1140099656,-0.01
1140121914,48.45,48.44,1140099658,-0.01
1140121989,178.4,178.37,1140099732,-0.02
1140121998,129.58,129.57,1140099732,-0.02
1140122012,64.55,58.55,1140100022,0.01
1140122041,203.69,203.67,1140100073,-0.01
1140122048,156.72,156.71,1140100082,-2.84E-14
1140122213,281.34,281.35,1140100197,-0.01
1140128008,212.46,212.45,1140100219,-0.01
1140128124,108.07,108.06,1140100268,0.01
1140128188,107.68,107.67,1140100336,1.42E-14
1140128298,46.04,46.03,1140100371,-0.01
1140128308,287.12,287.13,1140100418,-0.01
1140128332,161.01,161,1140100439,0.02
1140128689,166.11,166.08,1140100450,0.02
1140128716,114.44,114.46,1140100450,0.02
1140128865,113.09,113.08,1140100450,0.02
1140128961,57.93,57.95,1140100450,0.02
1140128970,71.35,71.34,1140100450,0.02
1140129027,225.44,225.46,1140100464,0.01
1140129076,331.38,331.41,1140100478,-0.01
1140129103,435.32,435.28,1140100671,-0.01
1140129114,57.24,57.25,1140100693,-0.01
1140129134,51.4,51.42,1140100952,0.01
1140129135,130.79,130.8,1140100952,0.01
1140129271,116.54,116.55,1140100959,0.01
1140129376,128.35,128.34,1140101027,-0.01
1140129505,1827.86,1827.87,1140101104,0.01
1140129528,108.65,108.69,1140101148,0.01
1140129581,108.41,108.42,1140101440,-0.01
1140129613,998.67,998.66,1140101453,-0.01
1140129774,2299.82,2299.75,1140101453,-0.01
1140129777,125.89,125.9,1140101557,-0.01
1140129985,105.81,105.82,1140101575,-0.01
1140130024,101.97,101.96,1140101575,-0.01
1140130046,348.48,348.49,1140101582,-0.01
1140130062,382.42,382.4,1140101681,0.01
1140130101,111.29,111.28,1140101693,0.01
1140130171,115.96,115.99,1140101773,-0.01
1140130178,112.73,112.72,1140101949,-0.01
1140130462,97.84,91.84,1140101949,-0.01
1140130470,49.56,49.55,1140101949,-0.01
1140130560,71.45,71.47,1140102137,-0.01
1140130793,196.93,196.92,1140102143,-0.02
1140130799,111.97,111.96,1140102143,-0.02
1140130825,530.7,524.7,1140102143,-0.02
1140130849,316,315.99,1140102143,-0.02
1140130856,234.52,234.53,1140102162,0.01
1140130970,152.95,152.94,1140102164,-0.01
1140131082,84.64,84.63,1140108031,-0.01
1140131093,162.19,162.21,1140108108,0.01
1140131273,109.82,109.84,1140108115,-0.01
1140131327,121.97,121.98,1140108194,0.01
1140131431,117.54,117.52,1140108194,-0.01
1140131523,93.28,93.27,1140108272,-0.01
1140131610,128.09,128.1,1140108272,-0.01
1140131643,802.23,802.17,1140108272,-0.01
1140131688,136.18,130.18,1140108479,-0.01
1140131717,124.77,124.76,1140108479,-0.01
1140131724,53.72,53.71,1140108479,-0.01
1140131730,58.18,58.17,1140108483,-0.02
1140131815,53.66,47.66,1140108483,-0.01
1140131839,202.53,202.54,1140108483,-0.01
1140131933,110.02,110.01,1140108557,-0.01
1140132077,51.89,51.91,1140108557,-0.01
1140132131,263.95,263.94,1140108590,0.01
1140132216,206.16,206.18,1140108590,0.01
1140138095,113.91,113.9,1140108590,0.01
1140138111,299.35,299.34,1140108627,-0.01
1140138119,405.67,405.66,1140108641,-0.01
1140138164,87.66,87.65,1140108641,-0.01
1140138478,133.73,133.76,1140108760,0.01
1140138567,311.35,311.39,1140108760,0.01
1140138706,319.26,319.25,1140108760,0.01
1140138730,152.22,152.23,1140108760,0.01
1140138853,149.36,149.35,1140108826,0.03
1140138876,108.9,108.89,1140108849,0.01
1140138901,134.47,134.48,1140108862,-0.01
1140138943,86.11,86.13,1140108866,-0.02
1140138987,154.89,154.9,1140108875,-0.01
1140138999,172.75,172.74,1140108896,-0.01
1140139073,155.28,155.29,1140108896,-0.01
1140139153,131.37,131.36,1140108982,-0.01
1140139156,286.27,286.24,1140108982,-0.01
1140139184,172.95,172.96,1140109049,-0.01
1140139487,72.29,72.26,1140109077,0.01
1140139492,187.38,187.37,1140109077,7.11E-15
1140139520,215.74,215.73,1140109116,-0.01
1140139533,148.6,148.61,1140109122,-0.01
1140139625,236.38,236.37,1140109252,0.01
1140139639,105.19,105.2,1140109252,0.01
1140139654,51.54,51.55,1140109252,0.01
1140139671,148.21,148.2,1140109266,-0.01
1140139701,110.44,110.43,1140109323,0.01
1140139717,225.09,225.07,1140109488,0.01
1140139733,111.99,112,1140109488,0.01
1140139805,158.2,158.21,1140109530,-0.01
1140139880,349.58,349.61,1140109530,-0.01
1140139894,127.93,121.93,1140109530,-0.01
1140139909,167.85,167.84,1140109530,-0.01
1140139966,312.96,312.95,1140109702,0.01
1140139992,272.09,272.07,1140109702,0.01
1140140029,210.61,210.6,1140109717,0.01
1140140112,65.4,65.41,1140109807,-0.01
1140140118,106.73,106.75,1140109807,-0.01
1140140143,150.74,150.73,1140109917,0.01
1140140261,321.69,321.64,1140110044,-0.01
1140140285,199.57,199.58,1140110129,-0.02
1140140322,82.55,82.56,1140110270,0.01
1140140358,48.7,48.71,1140110270,0.01
1140140465,165.76,165.75,1140110273,-0.01
1140140537,109.87,109.86,1140110455,-0.01
1140140603,172.77,172.73,1140110557,0.01
1140140826,62.95,62.96,1140110624,1.42E-14
1140141296,106.98,106.96,1140110779,0.01
1140141364,111.99,105.99,1140110912,0.01
1140141477,144.69,144.68,1140111017,1.42E-14
1140141512,112.67,112.68,1140111109,-0.01
1140141641,113.04,113.03,1140111191,-0.01
1140141670,101.54,101.53,1140111211,0.02
1140141672,159.6,159.64,1140111222,-0.01
1140141683,163.16,163.2,1140111258,-0.02
1140141708,111.43,111.41,1140111258,1.42E-14
1140141764,147.27,147.26,1140111390,-0.01
1140141801,65.4,65.42,1140111402,0.01
1140141836,112.7,112.69,1140111662,-0.01
1140141912,188.07,182.07,1140111662,-0.01
1140141991,166.24,160.24,1140111662,-0.01
1140142057,194.99,188.99,1140111680,-0.01
1140142066,330.75,330.74,1140111705,0.01
1140142101,112.49,106.49,1140111819,-0.01
1140142225,382.36,382.32,1140111833,-0.01
1140148143,104.54,104.55,1140111849,-0.01
1140148190,201.54,201.55,1140111849,-0.01
1140148353,80.77,80.76,1140111849,-0.01
1140148392,136.54,136.52,1140111888,-0.01
1140148811,229.11,229.1,1140111888,-0.01
1140149044,57.37,57.36,1140111900,0.01
1140149090,182.29,182.28,1140112111,-0.02
1140149115,57.93,57.95,1140112126,-0.01
1140149192,536.69,536.8,1140118134,-0.01
1140149197,111.5,111.49,1140118397,-0.01
1140149312,199.96,199.95,1140118425,0.01
1140149412,1399.36,1399.28,1140118793,1.42E-14
1140149426,61.77,61.79,1140118830,-0.01
1140149505,80.32,80.31,1140118830,-0.01
1140149535,102.2,102.19,1140118839,1.42E-14
1140149702,109.23,109.22,1140118872,0.02
1140149824,932.06,932.02,1140118872,-0.02
1140149934,165.32,165.3,1140118888,-0.01
1140149943,1221.47,1221.45,1140119143,-0.02
1140149962,171.76,171.75,1140119143,-0.01
1140149978,141.41,141.4,1140119143,-0.02
1140150095,111.26,111.25,1140119362,-0.01
1140150129,106.4,106.43,1140119435,0.01
1140150131,221.82,221.81,1140119435,0.01
1140150189,108.74,108.73,1140119435,0.01
1140150211,324.11,324.12,1140119479,-0.01
1140150241,81.94,81.95,1140119513,0.01
1140150258,103.55,103.54,1140119544,0.01
1140150268,99.99,100,1140119586,0.01
1140150362,74.13,74.12,1140119587,-0.01
1140150393,110.36,110.35,1140119698,-0.01
1140150617,112.49,112.47,1140119782,0.02
1140150755,65.38,65.37,1140119785,-0.01
1140150778,117.91,117.92,1140119785,-0.01
1140150824,120.3,120.31,1140119785,-0.01
1140150849,129.81,129.82,1140119793,0.01
1140150863,104.42,104.45,1140119793,0.01
1140150864,371.92,371.91,1140119979,-0.01
1140150874,59.41,59.43,1140119979,-0.01
1140150923,115.61,115.62,1140120025,-0.01
1140150951,238.01,237.98,1140120035,0.01
1140150968,133.52,133.5,1140120035,0.01
1140150972,156.26,156.27,1140120035,0.01
1140151001,108.24,108.25,1140120035,0.01
1140151277,140.7,140.68,1140120082,0.01
1140151282,199.42,199.46,1140120209,0.01
1140151422,134.96,134.98,1140120209,0.01
1140151450,107.34,107.32,1140120209,0.01
1140151555,74.94,74.93,1140120209,0.01
1140151645,76.2,76.19,1140120242,0.01
1140151720,319.85,319.86,1140120291,-0.02
1140151722,89.67,83.67,1140120291,-0.02
1140151735,56.93,56.92,1140120291,-0.02
1140151890,73.01,73,1140120291,-0.02
1140151909,107.96,107.95,1140120301,0.01
1140151913,263.45,263.44,1140120301,0.01
1140151914,115.17,115.16,1140120320,0.01
1140151953,109.6,109.61,1140120356,-0.02
1140152002,159.41,159.4,1140120362,0.01
1140152032,143.49,143.48,1140120362,0.02
1140152044,76.22,76.21,1140120362,0.01
1140152076,185.85,185.86,1140120362,0.01
1140152166,108.1,108.08,1140120362,0.02
1140157953,105.99,99.99,1140120362,0.02
1140158023,296.42,296.43,1140120362,0.02
1140158104,104.84,104.83,1140120362,0.01
1140158153,131.97,131.96,1140120362,0.02
1140158299,155.43,149.43,1140120425,-0.01
1140158354,75.39,75.38,1140120427,0.01
1140158435,117.42,117.43,1140120427,-0.02
1140158451,139.61,139.6,1140120440,-0.01
1140158495,37.2,37.19,1140120530,0.01
1140158612,210.73,210.76,1140120593,-0.01
1140158773,1935.01,1934.95,1140120606,0.01
1140158799,87.82,87.81,1140120608,-0.01
1140159054,72.13,72.15,1140120756,-0.01
1140159077,140.37,140.38,1140120787,-0.01
1140159214,111.13,111.11,1140120833,0.04
1140159218,557.24,557.25,1140120850,0.01
1140159309,593.28,593.26,1140120895,-0.01
1140159329,61.55,61.57,1140120937,0.01
1140159430,127.34,127.33,1140121069,-0.01
1140159467,89.92,89.93,1140121087,-0.01
1140159520,107.95,107.94,1140121109,-0.01
1140159576,182.26,182.27,1140121126,-0.01
1140159599,156.85,156.86,1140121126,-0.01
1140159694,155.05,155.07,1140121188,-0.02
1140159725,119.42,119.44,1140121188,-0.02
1140159850,45.48,45.47,1140121188,-0.02
1140160004,78.81,78.82,1140121188,-0.02
1140160008,127.11,127.1,1140121188,-0.02
1140160034,61.82,61.83,1140121188,-0.02
1140160052,107.61,107.62,1140121188,-0.02
1140160071,153.07,153.05,1140121188,-0.02
1140160073,143.4,143.39,1140121188,-0.02
1140160242,97,91,1140121188,-0.02
1140160270,267.24,267.22,1140121188,-0.02
1140160290,47.79,47.75,1140121188,-0.02
1140160309,117.24,117.23,1140121321,0.01
1140160316,76.54,76.53,1140121337,0.01
1140160374,166.12,166.13,1140121576,-0.01
1140160375,119.2,119.19,1140121576,-0.01
1140160467,734.69,734.71,1140121576,-0.01
1140160536,50.73,50.75,1140121625,-0.01
1140160689,75.71,75.72,1140121625,-0.01
1140160822,157.51,151.51,1140121644,0.01
1140160829,122.63,122.62,1140121698,-0.01
1140160839,330.14,330.16,1140121698,-0.01
1140160840,164.49,164.48,1140121698,-0.01
1140160933,169.54,169.52,1140121798,-0.02
1140161034,49.3,49.28,1140121798,-0.02
1140161096,115.99,109.99,1140121838,-0.01
1140161169,142.15,142.16,1140121838,-0.01
1140161349,85.4,85.39,1140121858,0.01
1140161364,56.49,56.48,1140121858,0.01
1140161592,180.67,180.66,1140121914,-0.01
1140161710,182.89,182.88,1140121989,-0.01
1140161711,71.33,65.33,1140121989,-0.01
1140161874,171.73,171.75,1140121989,-0.01
1140161900,92.54,86.54,1140121998,-0.01
1140161969,277.81,277.78,1140122041,-0.01
1140162083,162.31,162.28,1140122041,-0.01
